datetime,heating_temperature,cooling_temperature
2019-04-13 17:51:16,33.3,15.0
2019-04-13 18:51:18,34.0,
2019-04-13 19:51:20,33.8,
2019-04-13 20:51:21,34.2,
2019-04-13 21:51:23,34.5,
2019-04-13 22:51:25,34.7,
2019-04-13 23:51:26,34.8,
2019-04-14 00:51:28,34.9,
2019-04-14 01:51:30,35.0,
2019-04-14 06:51:38,35.1,
2019-04-14 08:51:41,34.4,
2019-04-14 09:51:43,34.6,
2019-04-14 10:25:16,34.2,20.9
2019-04-14 10:43:38,34.5,20.4
2019-04-14 11:39:32,33.9,32.3
2019-04-14 11:52:06,,32.4
2019-04-14 11:58:19,,31.7
2019-04-14 13:24:43,34.8,15.0
2019-04-14 14:38:23,34.5,17.0
2019-04-14 15:00:38,32.4,31.6
2019-04-14 16:00:40,33.7,15.0
2019-04-14 17:00:42,34.9,
2019-04-14 18:00:43,35.7,
2019-04-14 19:00:45,36.1,15.1
2019-04-14 20:00:47,36.4,15.0
2019-04-14 21:00:48,36.5,
2019-04-14 22:00:50,36.4,
2019-04-14 23:00:52,36.3,
2019-04-15 00:00:53,36.2,
2019-04-15 01:00:55,36.1,
2019-04-15 03:00:58,36.0,
2019-04-15 05:01:02,35.9,
2019-04-15 06:01:03,36.0,
2019-04-15 07:01:05,35.7,
2019-04-15 08:01:07,35.0,
2019-04-15 09:01:08,34.7,
2019-04-15 09:57:11,34.5,19.7
2019-04-15 10:57:13,34.8,15.0
2019-04-15 13:57:18,35.1,
2019-04-15 14:57:19,35.3,
2019-04-15 15:57:21,35.1,
2019-04-15 16:57:23,35.0,
2019-04-15 17:57:24,,14.9
2019-04-15 18:57:26,34.8,15.0
2019-04-15 19:57:28,34.6,
2019-04-15 20:57:29,34.7,
2019-04-15 21:57:31,34.8,
2019-04-15 22:57:33,34.5,
2019-04-15 23:57:34,35.0,
2019-04-16 00:57:36,35.3,
2019-04-16 01:57:38,35.5,
2019-04-16 04:57:43,35.4,
2019-04-16 05:57:44,35.3,
2019-04-16 07:57:48,34.7,
2019-04-16 08:58:39,32.9,31.8
2019-04-16 09:58:40,34.1,15.0
2019-04-16 10:58:42,34.7,
2019-04-16 13:58:47,35.0,
2019-04-16 14:58:49,35.2,
2019-04-16 15:58:50,34.8,
2019-04-16 16:58:52,34.7,
2019-04-17 13:55:03,23.1,21.6
2019-04-17 14:01:13,23.7,21.1
2019-04-17 14:49:08,27.0,26.0
2019-04-17 15:49:10,30.7,15.0
2019-04-17 16:49:11,32.7,
2019-04-23 09:31:58,24.3,23.1
2019-04-23 10:32:00,29.5,15.0
2019-04-23 11:32:02,32.1,
2019-04-23 12:32:03,33.3,
